183w,2024.10.10,中楼层(共18层)板楼,挂牌188万,成交周期100天,金御华府 3室2厅 94.49平米
158w,2024.09.24,高楼层(共18层)板楼,挂牌172万,成交周期64天,金御华府 3室2厅 96.81平米
176w,2024.09.23,中楼层(共18层)板楼,挂牌188万,成交周期190天,金御华府 3室2厅 95.34平米
171w,2024.08.28,中楼层(共18层)板楼,挂牌176万,成交周期795天,金御华府 3室2厅 96.18平米
171w,2024.08.22,低楼层(共18层)板楼,挂牌178万,成交周期252天,金御华府 3室2厅 94平米
392w,2024.08.07,高楼层(共6层)塔楼,挂牌450万,成交周期63天,金御华府 4室2厅 141.54平米
292w,2024.08.04,高楼层(共6层)板楼,挂牌300万,成交周期379天,金御华府 3室2厅 121.09平米
372w,2024.06.08,中楼层(共6层)塔楼,挂牌428万,成交周期150天,金御华府 3室2厅 139.46平米
557w,2024.04.09,低楼层(共6层)板楼,挂牌610万,成交周期128天,金御华府 4室2厅 272.53平米
500w,2024.03.20,低楼层(共6层)板楼,挂牌560万,成交周期215天,金御华府 4室2厅 266.75平米
410w,2023.12.09,中楼层(共6层)板楼,挂牌433万,成交周期150天,金御华府 4室2厅 139.47平米
223w,2023.11.02,高楼层(共18层)板楼,挂牌230万,成交周期272天,金御华府 3室1厅 96平米
473w,2023.10.30,中楼层(共6层)板楼,挂牌468万,成交周期795天,金御华府 4室2厅 150.11平米
221w,2023.09.16,高楼层(共18层)板楼,挂牌229万,成交周期82天,金御华府 3室1厅 96.78平米
339w,2023.09.09,高楼层(共6层)塔楼,挂牌350万,成交周期3天,金御华府 3室2厅 114.76平米
221w,2023.06.13,高楼层(共18层)板楼,挂牌232万,成交周期1天,金御华府 3室2厅 94.49平米
558w,2023.06.08,低楼层(共6层)板楼,挂牌620万,成交周期461天,金御华府 4室2厅 242.41平米
702w,2023.05.22,低楼层(共6层)塔楼,挂牌685万,成交周期107天,金御华府 5室3厅 266.75平米
223w,2023.05.10,中楼层(共18层)板楼,挂牌225万,成交周期97天,金御华府 3室1厅 96.18平米
332w,2023.04.08,高楼层(共6层)板楼,挂牌341万,成交周期396天,金御华府 3室2厅 121.07平米
552w,2023.04.06,低楼层(共6层)板楼,挂牌570万,成交周期21天,金御华府 4室1厅 261.66平米
563w,2023.02.27,低楼层(共6层)塔楼,挂牌598万,成交周期84天,金御华府 4室2厅 256.48平米
226w,2023.02.22,低楼层(共18层)板楼,挂牌239万,成交周期129天,金御华府 3室2厅 94.49平米
213w,2023.01.16,低楼层(共18层)板楼,挂牌230万,成交周期87天,金御华府 3室2厅 95.08平米
318w,2023.01.09,高楼层(共6层)板楼,挂牌330万,成交周期37天,金御华府 3室2厅 121平米
307w,2022.12.16,高楼层(共6层)板楼,挂牌320万,成交周期19天,金御华府 3室1厅 114.75平米
234w,2022.12.12,高楼层(共18层)板楼,挂牌245万,成交周期120天,金御华府 3室1厅 97.05平米
543w,2022.12.09,低楼层(共6层)板楼,挂牌539万,成交周期100天,金御华府 4室2厅 272.55平米
234w,2022.12.06,中楼层(共18层)板楼,挂牌245万,成交周期173天,金御华府 3室2厅 97.05平米
225w,2022.08.31,中楼层(共18层)板楼,挂牌231.9万,成交周期196天,金御华府 3室2厅 96.18平米
